id,name,name_reverse,object,subject
436,Siebenbürgischer Vizehofkanzler,Siebenbürgischer Vizehofkanzler [REVERSE],Person,Institution
437,Legationsrat,Legationsrat [REVERSE],Person,Institution
438,Botschafter,Botschafter [REVERSE],Person,Institution
440,Leiter des Ministeriums für Handel und Volkswirtschaft,Leiter des Ministeriums für Handel und Volkswirtschaft [REVERSE],Person,Institution
441,Marineministerstellvertreter,Marineministerstellvertreter [REVERSE],Person,Institution
442,Botschafter in Paris,Botschafter in Paris [REVERSE],Person,Institution
443,Gesandter,Gesandter [REVERSE],Person,Institution
444,Stellvertreter des kroatischen Hofkanzlers,Stellvertreter des kroatischen Hofkanzlers [REVERSE],Person,Institution
445,Gubernialpräsident,Gubernialpräsident [REVERSE],Person,Institution
446,Präsident der Obersten Rechnungskontrollbehörde,Präsident der Obersten Rechnungskontrollbehörde [REVERSE],Person,Institution
447,Hof- und Ministerialrat,Hof- und Ministerialrat [REVERSE],Person,Institution
448,Oberpostrat,Oberpostrat [REVERSE],Person,Institution
449,provisorischer Leiter des Polizeiministeriums,provisorischer Leiter des Polizeiministeriums [REVERSE],Person,Institution
450,Bauadjunkt,Bauadjunkt [REVERSE],Person,Institution
451,Stellvertreter des Kriegsministers,Stellvertreter des Kriegsministers [REVERSE],Person,Institution
452,Generalgendarmerieinspektor,Generalgendarmerieinspektor [REVERSE],Person,Institution
453,Hofvizekanzler,Hofvizekanzler [REVERSE],Person,Institution
454,Vorsitzender des Ministerrates,Vorsitzender des Ministerrates [REVERSE],Person,Institution
455,Minister des Äußern,Minister des Äußern [REVERSE],Person,Institution
456,Minister des kaiserlichen Hauses,Minister des kaiserlichen Hauses [REVERSE],Person,Institution
457,Präsident der Obersten Rechnungskontrollsbehörde,Präsident der Obersten Rechnungskontrollsbehörde [REVERSE],Person,Institution
458,Leiter und Generaldirektor für Post- und Telegrafenangelegenheiten,Leiter und Generaldirektor für Post- und Telegrafenangelegenheiten [REVERSE],Person,Institution
459,Generalinspektor der österreichischen Eisenbahnen,Generalinspektor der österreichischen Eisenbahnen [REVERSE],Person,Institution
460,Hofsekretär,Hofsekretär [REVERSE],Person,Institution
464,Bürgermeister,Gemeinde wird verwaltet von,Person,Institution
483,hat teilgenommen an,unter Beteiligung von,Person,Institution
646,Leiter des Finanzministeriums,(Leiter des Finanzministeriums),Person,Institution
670,beauftragt,beauftragt von,Person,Institution
30,spouseOf,spouseOf,Person,Person
125,childOf,parentof,Person,Person
127,parentOf,childof,Person,Person
128,siblingOf,siblingOf,Person,Person
473,isTranslatorfor,hasTranslator,Person,Person
682,murdered by,murderer of,Person,Person
2,place of birth,,Person,Place
18,place of death,,Person,Place
52,arbeitet in dem Ort,ist Arbeitsort von,Person,Place
121,located in,,Person,Place
161,died in,,Person,Place
172,born in,,Person,Place
681,located in >> buried in,buryplace of,Person,Place
686,commander of,commanded by,Person,Place
687,sanjakbey of,ruled by sanjakbey,Person,Place
688,beylerbey of,ruled by beylerbey,Person,Place
665,erschaffen von,erschaffen durch,Person,Work
666,erinnert durch,erinnert an,Person,Work
668,moved,moved by,Person,Work
709,hat teilgenommen an,hat teilgenommen an [REVERSE],Person,Event
